Source;Target;Label;Weight
20;13;PEdge2013;1
20;14;PEdge2014;0.69116
20;15;PEdge2015;0.78044
20;16;PEdge2016;0.99998
20;17;PEdge2017;0.99997
20;18;PEdge2018;1
20;19;PEdge2019;1
21;1;PEdge211;0.02158
21;2;PEdge212;0.6214
21;3;PEdge213;0.99994
21;4;PEdge214;0.99998
21;5;PEdge215;0.25936
21;6;PEdge216;0.56446
21;7;PEdge217;0.78034
21;8;PEdge218;0.48715
21;9;PEdge219;0.21247
21;10;PEdge2110;0.4244
21;11;PEdge2111;0.21439
21;12;PEdge2112;0.76731
21;13;PEdge2113;0.99998
21;14;PEdge2114;0.69129
21;15;PEdge2115;0.78082
21;16;PEdge2116;0.99997
21;17;PEdge2117;0.99996
21;18;PEdge2118;0.99998
21;19;PEdge2119;0.99998
21;20;PEdge2120;0.99998
22;1;PEdge221;0.021927
22;2;PEdge222;0.62101
22;3;PEdge223;0.99995
22;4;PEdge224;0.99999
22;5;PEdge225;0.2593
22;6;PEdge226;0.56412
22;7;PEdge227;0.77987
22;8;PEdge228;0.48684
22;9;PEdge229;0.21215
22;10;PEdge2210;0.42386
22;11;PEdge2211;0.21419
22;12;PEdge2212;0.76688
22;13;PEdge2213;0.99999
22;14;PEdge2214;0.69128
22;15;PEdge2215;0.78036
22;16;PEdge2216;0.99998
22;17;PEdge2217;0.99997
22;18;PEdge2218;0.99999
22;19;PEdge2219;0.99999
22;20;PEdge2220;0.99999
22;21;PEdge2221;0.99998
1;23;NEdge123;0.021695
23;2;PEdge232;0.13158
23;3;PEdge233;0.16879
23;4;PEdge234;0.16886
5;23;NEdge523;0.11831
23;6;PEdge236;0.12204
23;7;PEdge237;0.16029
23;8;PEdge238;0.098764
9;23;NEdge923;0.070675
23;10;PEdge2310;0.086815
11;23;NEdge1123;0.099746
23;12;PEdge2312;0.11401
23;13;PEdge2313;0.16906
14;23;NEdge1423;0.035564
23;15;PEdge2315;0.16096
23;16;PEdge2316;0.1688
23;17;PEdge2317;0.16903
23;18;PEdge2318;0.16915
23;19;PEdge2319;0.1689
23;20;PEdge2320;0.16924
23;21;PEdge2321;0.16931
23;22;PEdge2322;0.16874
1;24;NEdge124;0.091463
24;2;PEdge242;0.59406
24;3;PEdge243;0.67178
24;4;PEdge244;0.67146
24;5;PEdge245;0.31137
24;6;PEdge246;0.53056
24;7;PEdge247;0.75649
24;8;PEdge248;0.54139
24;9;PEdge249;0.28139
24;10;PEdge2410;0.40573
24;11;PEdge2411;0.28603
24;12;PEdge2412;0.74747
24;13;PEdge2413;0.67139
24;14;PEdge2414;0.7745
24;15;PEdge2415;0.75474
24;16;PEdge2416;0.67157
24;17;PEdge2417;0.67061
24;18;PEdge2418;0.6714
24;19;PEdge2419;0.67137
24;20;PEdge2420;0.6713
24;21;PEdge2421;0.67154
24;22;PEdge2422;0.67133
24;23;PEdge2423;0.078348
1;25;NEdge125;0.049876
25;2;PEdge252;0.4448
25;3;PEdge253;0.54819
25;4;PEdge254;0.54793
25;5;PEdge255;0.21445
25;6;PEdge256;0.38897
25;7;PEdge257;0.67101
25;8;PEdge258;0.40483
25;9;PEdge259;0.081253
25;10;PEdge2510;0.26133
25;11;PEdge2511;0.15161
25;12;PEdge2512;0.66778
25;13;PEdge2513;0.54819
25;14;PEdge2514;0.55828
25;15;PEdge2515;0.67072
25;16;PEdge2516;0.54798
25;17;PEdge2517;0.54791
25;18;PEdge2518;0.54816
25;19;PEdge2519;0.54814
25;20;PEdge2520;0.54807
25;21;PEdge2521;0.54804
25;22;PEdge2522;0.54807
25;23;PEdge2523;0.094573
25;24;PEdge2524;0.55225
1;26;NEdge126;0.12119
26;2;PEdge262;0.46642
26;3;PEdge263;0.29667
26;4;PEdge264;0.29663
26;5;PEdge265;0.32263
26;6;PEdge266;0.36606
26;7;PEdge267;0.23432
26;8;PEdge268;0.48129
26;9;PEdge269;0.28437
26;10;PEdge2610;0.38829
26;11;PEdge2611;0.3604
26;12;PEdge2612;0.24427
26;13;PEdge2613;0.29658
26;14;PEdge2614;0.3338
26;15;PEdge2615;0.23421
26;16;PEdge2616;0.29655
26;17;PEdge2617;0.29652
26;18;PEdge2618;0.29663
26;19;PEdge2619;0.29664
26;20;PEdge2620;0.29658
26;21;PEdge2621;0.29669
26;22;PEdge2622;0.29648
23;26;NEdge2326;0.030478
26;24;PEdge2624;0.28883
26;25;PEdge2625;0.15217
27;1;PEdge271;0.020203
27;2;PEdge272;0.27548
27;3;PEdge273;0.22749
27;4;PEdge274;0.22719
27;5;PEdge275;0.22291
27;6;PEdge276;0.29114
27;7;PEdge277;0.13335
27;8;PEdge278;0.26089
27;9;PEdge279;0.18182
27;10;PEdge2710;0.22849
27;11;PEdge2711;0.22196
27;12;PEdge2712;0.1557
27;13;PEdge2713;0.22728
27;14;PEdge2714;0.28062
27;15;PEdge2715;0.13542
27;16;PEdge2716;0.22725
27;17;PEdge2717;0.22693
27;18;PEdge2718;0.22718
27;19;PEdge2719;0.2273
27;20;PEdge2720;0.22714
27;21;PEdge2721;0.22706
27;22;PEdge2722;0.22706
27;23;PEdge2723;0.020193
27;24;PEdge2724;0.21149
27;25;PEdge2725;0.14845
27;26;PEdge2726;0.26207
28;1;PEdge281;0.021714
28;2;PEdge282;0.62119
28;3;PEdge283;0.99996
28;4;PEdge284;0.99999
28;5;PEdge285;0.25937
28;6;PEdge286;0.56452
28;7;PEdge287;0.77999
28;8;PEdge288;0.48702
28;9;PEdge289;0.21221
28;10;PEdge2810;0.42419
28;11;PEdge2811;0.21445
28;12;PEdge2812;0.76699
28;13;PEdge2813;1
28;14;PEdge2814;0.69124
28;15;PEdge2815;0.78049
28;16;PEdge2816;0.99999
28;17;PEdge2817;0.99997
28;18;PEdge2818;1
28;19;PEdge2819;1
28;20;PEdge2820;1
28;21;PEdge2821;0.99998
28;22;PEdge2822;0.99999
28;23;PEdge2823;0.16899
28;24;PEdge2824;0.67143
28;25;PEdge2825;0.5481
28;26;PEdge2826;0.29666
28;27;PEdge2827;0.22716
1;29;NEdge129;0.10635
29;2;PEdge292;0.42198
29;3;PEdge293;0.19388
29;4;PEdge294;0.19325
29;5;PEdge295;0.24791
29;6;PEdge296;0.33207
29;7;PEdge297;0.34457
29;8;PEdge298;0.39196
29;9;PEdge299;0.1978
29;10;PEdge2910;0.14834
29;11;PEdge2911;0.17754
29;12;PEdge2912;0.34735
29;13;PEdge2913;0.19339
29;14;PEdge2914;0.37009
29;15;PEdge2915;0.349
29;16;PEdge2916;0.19357
29;17;PEdge2917;0.19326
29;18;PEdge2918;0.19352
29;19;PEdge2919;0.19359
29;20;PEdge2920;0.1935
29;21;PEdge2921;0.19341
29;22;PEdge2922;0.19327
29;23;PEdge2923;0.034367
29;24;PEdge2924;0.26135
29;25;PEdge2925;0.34363
29;26;PEdge2926;0.18138
29;27;PEdge2927;0.1114
29;28;PEdge2928;0.19346
30;1;PEdge301;0.021478
30;2;PEdge302;0.62127
30;3;PEdge303;0.99994
