ARS/USD,AUD/USD,ATS/USD,BEF/USD,BRL/USD,GBP/USD,BGN/USD,CAD/USD,CLP/USD,CNY/USD,COP/USD,HRK/USD,CYP/USD,CZK/USD,DKK/USD,NLG/USD,EEK/USD,EUR/USD,FIM/USD,FRF/USD,DEM/USD,GRD/USD,HKD/USD,HUF/USD,ISK/USD,INR/USD,IDR/USD,IEP/USD,ILS/USD,ITL/USD,JPY/USD,LUF/USD,MYR/USD,MTL/USD,MXN/USD,NZD/USD,NOK/USD,PKR/USD,PEN/USD,PHP/USD,XPT/USD,PLN/USD,PTE/USD,RON/USD,RUB/USD,SAR/USD,SGD/USD,SKK/USD,SIT/USD,ZAR/USD,KRW/USD,ESP/USD,XDR/USD,SEK/USD,CHF/USD,TWD/USD,THB/USD,TRY/USD
60.083,1.4488,12.37,36.264,4.1362,0.76858,1.7584,1.3062,770.18,6.8856,3282,6.6937,0.52614,22.617,6.719,1.9811,14.066,0.89897,5.345,5.8968,1.7582,306.32,7.775,299.19,123.36,70.835,13606,0.70799,3.4652,1740.6,110.04,36.264,4.0718,0.38593,18.802,1.5118,8.8797,154.46,3.3262,50.567,0.00102881,3.7959,180.23,4.2972,61.439,3.7524,1.3471,27.082,215.43,14.398,1157,149.58,0.72442,9.4584,0.9682,29.904,30.231,5.8838
59.84,1.4492,12.338,36.171,4.172,0.76783,1.7524,1.305,775.94,6.8902,3303.1,6.67,0.52479,22.529,6.6954,1.976,14.03,0.89666,5.3313,5.8817,1.7537,305.54,7.7725,298.31,122.39,70.732,13737,0.70618,3.455,1736.2,109.94,36.171,4.0686,0.38494,18.801,1.5134,8.8595,154.17,3.324,50.642,0.00098717,3.7869,179.76,4.2831,61.528,3.7522,1.3465,27.013,214.88,14.38,1157.9,149.19,0.72378,9.4565,0.96402,29.938,30.188,5.8784
60.038,1.449,12.352,36.212,4.1838,0.76551,1.7524,1.3045,774.92,6.8803,3319,6.6679,0.52539,22.553,6.6958,1.9782,14.046,0.89767,5.3373,5.8884,1.7557,305.88,7.7741,299.12,122.75,70.974,13589,0.70698,3.4564,1738.1,110.08,36.212,4.0658,0.38537,18.794,1.506,8.8862,154.07,3.3236,50.872,0.00098328,3.7923,179.97,4.282,61.591,3.7518,1.3468,27.043,215.12,14.408,1159.6,149.36,0.72382,9.4873,0.96444,29.927,30.388,5.855
59.968,1.4534,12.402,36.357,4.1772,0.76759,1.7621,1.3062,771.94,6.8603,3322,6.7011,0.52749,22.656,6.7327,1.9861,14.102,0.90126,5.3587,5.9119,1.7627,307.1,7.7657,302.35,123.79,71.066,13606,0.7098,3.4571,1745.1,110.13,36.357,4.058,0.38691,18.724,1.5116,8.91,154.5,3.3211,50.947,0.00098425,3.8171,180.69,4.3068,61.584,3.7513,1.3473,27.151,215.98,14.454,1161.1,149.96,0.72468,9.5135,0.96799,29.959,30.403,5.8944
59.959,1.456,12.412,36.387,4.185,0.76927,1.7622,1.3053,769.86,6.8664,3331.3,6.6998,0.52792,22.638,6.7329,1.9878,14.113,0.90201,5.3631,5.9168,1.7642,307.36,7.7696,303.09,123.98,71.017,13597,0.71039,3.4532,1746.5,110.15,36.387,4.0565,0.38723,18.669,1.5143,8.9282,154.64,3.3197,50.897,0.00098425,3.8233,180.84,4.3063,61.571,3.7519,1.3472,27.174,216.16,14.51,1160.3,150.08,0.72507,9.5208,0.96883,29.966,30.317,5.917
60.051,1.4587,12.399,36.348,4.2003,0.76603,1.7611,1.3067,772.66,6.9064,3349.8,6.6969,0.52736,22.57,6.7284,1.9856,14.098,0.90105,5.3574,5.9105,1.7623,307.03,7.7687,301.93,124.08,71.171,13611,0.70963,3.4581,1744.7,109.9,36.348,4.0749,0.38682,18.723,1.5141,8.9623,154.56,3.3182,51.044,0.00100604,3.8212,180.64,4.3027,61.87,3.7517,1.3493,27.145,215.93,14.479,1167.7,149.92,0.72491,9.5102,0.96778,30.025,30.425,5.9314
60.029,1.4614,12.412,36.387,4.1851,0.76145,1.7734,1.3116,770.86,6.9068,3328.4,6.7439,0.52792,22.792,6.776,1.9877,14.113,0.902,5.3631,5.9167,1.7642,307.36,7.7701,304.31,124.95,71.089,13663,0.71038,3.4709,1746.5,109.94,36.387,4.0874,0.38723,18.692,1.5161,8.9836,154.13,3.3155,51.23,0.00099701,3.8426,180.84,4.3328,61.926,3.7517,1.349,27.174,216.16,14.352,1164.8,150.08,0.72482,9.5112,0.96926,30,30.543,5.9214
60.041,1.4603,12.444,36.482,4.1671,0.76262,1.7607,1.3143,777.67,6.9356,3366.9,6.7014,0.5293,22.65,6.7279,1.9929,14.15,0.90436,5.3771,5.9322,1.7688,308.16,7.7723,303.56,124.06,71.391,13691,0.71224,3.4513,1751.1,109.43,36.482,4.0638,0.38824,18.776,1.5161,9.0021,154.24,3.3198,50.878,0.000999,3.8206,181.31,4.3022,61.966,3.7509,1.3512,27.245,216.72,14.397,1169.3,150.47,0.72555,9.5308,0.96903,30.041,30.504,5.9363
60.038,1.4644,12.476,36.574,4.1807,0.76444,1.7735,1.314,776.5,6.9377,3375.2,6.7477,0.53064,22.814,6.7763,1.998,14.186,0.90664,5.3907,5.9472,1.7732,308.94,7.7705,304.68,124.59,71.297,13546,0.71404,3.4548,1755.5,109.32,36.574,4.0675,0.38922,18.812,1.5133,9.0371,153.93,3.3232,50.863,0.00098717,3.8597,181.77,4.3343,62.04,3.7511,1.3513,27.314,217.27,14.408,1169,150.85,0.72623,9.5633,0.97075,30.048,30.579,5.9403
60.153,1.4788,12.488,36.61,4.2155,0.76591,1.7733,1.3182,789.65,6.9379,3398.2,6.7469,0.53116,22.876,6.7753,2,14.2,0.90754,5.396,5.9531,1.775,309.24,7.777,306.03,124.58,71.447,13590,0.71474,3.459,1757.2,108.94,36.61,4.0639,0.38961,18.921,1.5261,9.1351,153.83,3.3338,50.849,0.00101215,3.8728,181.95,4.3346,62.981,3.7513,1.3573,27.341,217.48,14.595,1177,151,0.72636,9.6149,0.96969,30.144,30.708,5.9486
